final_rankings__standing_player,nationality,standing_player2,final_rankings__age,final_rankings__points
160,USA,Christopher Eubanks,25,428
161,JPN,Yuichi Sugita,33,428
162,TUR,Altug Celikbilek,25,428
163,UKR,Illya Marchenko,34,427
164,MEX,Ernesto Escobedo,25,422
165,USA,Bjorn Fratangelo,28,422
166,FRA,Gregoire Barrere,27,417
167,RUS,Roman Safiullin,24,409
168,POL,Kacper Zuk,22,404
169,USA,Mitchell Krueger,27,404
170,SWE,Elias Ymer,25,401
171,AUS,Thanasi Kokkinakis,25,394
172,RUS,Evgeny Donskoy,31,392
173,POR,Pedro Sousa,33,391
174,USA,J.J. Wolf,23,390
175,AUS,Christopher O'Connell,27,388
176,AUS,Max Purcell,23,386
177,ESP,Mario Vilella Martinez,26,385
178,TPE,Jason Jung,32,379
179,FRA,Enzo Couacaud,26,370
180,KAZ,Dmitry Popko,25,369
181,SLO,Blaz Rola,31,368
182,KAZ,Mikhail Kukushkin,34,366
183,GER,Daniel Masur,27,361
184,IND,Ramkumar Ramanathan,27,360
185,ITA,Alessandro Giannessi,31,357
186,SUI,Marc-Andrea Huesler,25,357
187,BUL,Dimitar Kuzmanov,28,355
188,TPE,Chun-Hsin Tseng,20,352
189,ARG,Renzo Olivo,29,351
190,SVK,Lukas Lacko,34,351
191,LAT,Ernests Gulbis,33,348
192,BEL,Zizou Bergs,22,348
193,AUT,Sebastian Ofner,25,347
194,POR,Nuno Borges,24,346
195,SVK,Filip Horansky,28,346
196,AUS,Marc Polmans,24,343
197,ITA,Gian Marco Moroni,23,336
198,CZE,Vit Kopriva,24,333
199,ARG,Marco Trungelliti,31,330
200,FRA,Antoine Hoang,26,323
201,ITA,Franco Agamenone,28,323
202,ITA,Roberto Marcora,32,322
203,JPN,Yasutaka Uchiyama,29,321
204,ITA,Thomas Fabbiano,32,321
205,ITA,Flavio Cobolli,19,321
206,AUS,Jason Kubler,28,320
207,ITA,Lorenzo Giustino,30,316
208,BEL,Kimmer Coppejans,27,313
209,ARG,Facundo Mena,29,308
210,BRA,Felipe Meligeni Alves,23,304
211,FRA,Mathias Bourgue,27,303
212,BEL,Ruben Bemelmans,33,301
213,ARG,Camilo Ugo Carabelli,22,301
214,EGY,Mohamed Safwat,31,298
215,GBR,Jay Clarke,23,297
216,ARG,Nicolas Kicker,29,297
217,POR,Gastao Elias,31,296
218,ITA,Andrea Pellegrino,24,295
219,IND,Prajnesh Gunneswaran,32,293
220,UKR,Sergiy Stakhovsky,35,293
221,USA,Thai-Son Kwiatkowski,26,292
222,IND,Sumit Nagal,24,290
223,FRA,Maxime Janvier,25,290
224,FRA,Alexandre Muller,24,288
225,RUS,Pavel Kotov,23,286
226,NED,Jesper de Jong,21,285
227,GER,Cedrik-Marcel Stebe,31,282
228,FRA,Constant Lestienne,29,280
229,GER,Maximilian Marterer,26,279
230,NED,Robin Haase,34,279
231,DEN,Mikael Torpegaard,27,279
